"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=pilosa&show=full"
"Access Time","Fri 2017-03-10 17:36:31 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","pilosa"
"","timerule","major"
"","taxon_status","all"
"","show","full"
"Elapsed Time","0.105"
"Records Found","865"
"Records Returned","865"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","plant_organ","plant_organ2","abund_value","abund_unit","lng","lat","collection_name","collection_subset","collection_aka","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","paleolng","paleolat","geoplate","cc","protected","formation","stratgroup","member","stratscale","zone","localsection","localbed","localorder","regionalsection","regionalbed","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","assembl_comps","articulated_parts","associated_parts","common_body_parts","rare_body_parts","feed_pred_traces","artifacts","component_comments","pres_mode","preservation_quality","spatial_resolution","temporal_resolution","lagerstatten","concentration","orientation","abund_in_sediment","sorting","fragmentation","bioerosion","encrustation","preservation_comments","collection_type","collection_methods","museum","collection_coverage","collection_size","rock_censused","collectors","collection_dates","collection_comments","taxonomy_comments","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","composition","architecture","thickness","reinforcement"
"157313","occ","","","13948","Mylodontidae indet.","family","43629","","Mylodontidae","","family","43629","Pleistocene","","2.588","0.0117","Montellano-Ballesteros","2002","6175","Chordata","Mammalia","Xenarthra","Mylodontidae","","","","","","-97.900002","18.616667","Rancho Gerardo (Middle Unit)","","","MX","Puebla","","estimated from map","minutes","outcrop","""one kilometer east of Road 455 that connects La Colorada and Tepexi de Rodriquez. On the southern bank of the Rio Axamilpa...""","gp_mid","-97.60","18.85","104","MX","","","","","member","","Rancho Gerardo","1","bottom to top","","","","","""yellowish silt and sand with lenses of rounded and elongated cobbles""","siltstone","yellow","","","","sandstone","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","","","","","","","","","","","","""a tooth and dermal ossicles"" ; ""scutes""; isolated mandibles, tusks, and large postcrania","taxonomic","field collection","","","","","","","","","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","hydroxyapatite","","",""
"171593","occ","","","15759","cf. Asiabradypus sp.","genus","43683","","Asiabradypus","","genus","43683","Wasatchian","","55.8","50.3","Gingerich","1989","1657","Chordata","Mammalia","Xenarthra","Mylodontidae","Asiabradypus","","","","","-109.000000","44.299999","SC-67","","","US","Wyoming","Park","based on political unit","1","small collection","","gp_mid","-81.07","52.21","101","US","","Willwood","","","","","Clark","1520","bottom to top","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","","UMMP","","255 specimens","","","","","supersedes list of Gingerich 1982a<br>this and other Wa-0 sites are immediately above the Paleocene-Eocene carbon isotope excursion horizon, tentatively dated by Norris and Rohl 1999 at 54.96 Ma on the basis of astronomical tuning of the GMPTS<br>Wa-0<br>Chron 24R: Butler et al. 1981","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","hydroxyapatite","","",""
"184131","occ","","","18033","Megalonyx curvidens","species","48017","","Megalonyx curvidens","","species","48017","Hemphillian","","10.3","4.9","Skinner et al.","1977","3175","Chordata","Mammalia","Xenarthra","Megalonychidae","Megalonyx","","","","","-103.800003","42.400002","Aphelops Draw Quarries","","","US","Nebraska","Sioux","based on political unit","1","","Aphelops Draw","gp_mid","-100.53","44.34","101","US","","Snake Creek","","Johnson","","","Snake","8","bottom to top","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","biostratigraphic","","","","","","","","","""Aelurodon taxoides"" Wang et al. 1999: supposedly reworked specimen<br><br>""Leptocyon cf. vafer"" of Cook and Macdonald 1962 seems  extremely unlikely as there are no other Hemphillian  or even Clarendonian records of this genus; however,  Skinner et al. state that the type is from the  Johnson Mbr., as is the type of ""Tomarctus propter""","terrestrial","","actively mobile","arboreal","","folivore","viviparous","","hydroxyapatite","","",""
"184166","occ","","","18036","Megalonyx sp.","genus","43603","","Megalonyx","","genus","43603","Late Hemphillian","","10.3","4.9","Schultz","1990","6209","Chordata","Mammalia","Xenarthra","Megalonychidae","Megalonyx","","","","","-101.900002","35.000000","Axtel","","UCMP V-5319","US","Texas","Randall","based on political unit","1","small collection","Woody Draw, 12 mi E of Canyon","gp_mid","-98.91","36.89","101","US","","","","","","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","","UCMP","","","","","","","","terrestrial","","actively mobile","arboreal","","folivore","viviparous","","hydroxyapatite","","",""
"184213","occ","","","18043","Megalonyx sp.","genus","43603","","Megalonyx","","genus","43603","Hemphillian","","10.3","4.9","Hirschfeld and Webb","1968","1919","Chordata","Mammalia","Xenarthra","Megalonychidae","Megalonyx","","","","","-100.000000","42.700001","Bear Tooth Slide","","","US","Nebraska","Brown","based on political unit","1","","middle fork of Deep Creek","gp_mid","-96.59","44.53","101","US","","Ash Hollow","","","","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","biostratigraphic","","","","","","","","","","terrestrial","","actively mobile","arboreal","","folivore","viviparous","","hydroxyapatite","","",""
"184379","occ","","","18072","Pliometanastes cf. protistus","species","50581","","Pliometanastes protistus","","species","50581","Hemphillian","","10.3","4.9","Schultz","1990","6208","Chordata","Mammalia","Xenarthra","Megalonychidae","Pliometanastes","","","","","-100.099998","36.099998","Box T","","","US","Texas","Lipscomb","based on political unit","1","","S of Wolf Creek, 9 mi NW of Higgins","gp_mid","-97.02","37.94","101","US","","","","","","","Hemph","5","bottom to top","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","","","","","","","","","stratigraphic position based on presumed correlation of massive sandstone with mortar bed at Higgins","terrestrial","","actively mobile","arboreal","","folivore","viviparous","","hydroxyapatite","","",""
"184380","occ","","","18072","Thinobadistes wetzeli","species","52246","","Thinobadistes wetzeli","","species","52246","Hemphillian","","10.3","4.9","Schultz","1990","6208","Chordata","Mammalia","Xenarthra","Mylodontidae","Thinobadistes","","","","","-100.099998","36.099998","Box T","","","US","Texas","Lipscomb","based on political unit","1","","S of Wolf Creek, 9 mi NW of Higgins","gp_mid","-97.02","37.94","101","US","","","","","","","Hemph","5","bottom to top","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","","","","","","","","","stratigraphic position based on presumed correlation of massive sandstone with mortar bed at Higgins","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","hydroxyapatite","","",""
"184525","occ","","","18086","Pliometanastes sp.","genus","43606","","Pliometanastes","","genus","43606","Hemphillian","","10.3","4.9","Voorhies","1990","3510","Chordata","Mammalia","Xenarthra","Megalonychidae","Pliometanastes","","","","","-100.500000","40.500000","Cambridge","","Amebelodon fricki Quarry; UNSM Ft-40","US","Nebraska","Frontier","based on political unit","1","","Keith's Farm, near Freedom","gp_mid","-97.22","42.35","101","US","","Ash Hollow","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","","","","","","","","","NOT clearly superposed above or below any other locality, contrary to Tedford et al. 1987 Fig. 6.2\nFlorida school equid i.d.s are retained because Voorhies' nomenclature differs for philosophical reasons only","terrestrial","","actively mobile","arboreal","","folivore","viviparous","","hydroxyapatite","","",""
"184526","occ","","","18086","Thinobadistes sp.","genus","43648","","Thinobadistes","","genus","43648","Hemphillian","","10.3","4.9","Voorhies","1990","3510","Chordata","Mammalia","Xenarthra","Mylodontidae","Thinobadistes","","","","","-100.500000","40.500000","Cambridge","","Amebelodon fricki Quarry; UNSM Ft-40","US","Nebraska","Frontier","based on political unit","1","","Keith's Farm, near Freedom","gp_mid","-97.22","42.35","101","US","","Ash Hollow","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","","","","","","","","","NOT clearly superposed above or below any other locality, contrary to Tedford et al. 1987 Fig. 6.2\nFlorida school equid i.d.s are retained because Voorhies' nomenclature differs for philosophical reasons only","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","hydroxyapatite","","",""
"184680","occ","","","18097","Thinobadistes sp.","genus","43648","","Thinobadistes","","genus","43648","Hemphillian","","10.3","4.9","Schultz","1990","6209","Chordata","Mammalia","Xenarthra","Mylodontidae","Thinobadistes","","","","","-100.199997","35.900002","Coffee Ranch","","Miami Quarry; Reed and Longnecker Locality 20; TMM 41261; UCMP V-2823","US","Texas","Hemphill","based on political unit","1","","","gp_mid","-97.13","37.75","101","US","","","","","","","Hemph","6","bottom to top","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","","TMM","","3259 specimens","","","","","preliminary list given by Matthew and Stirton 1930a<br>in a normal zone; based on FT zircon date of 6.8 +/- 0.2 Ma this should be C & K 92 zone C3Bn (old C6N), NOT old upper zone C5N, contra MacFadden et al. 1979; FT date also is supported by correlation by Perkins 1998 of this ash with the Blacktail Creek ash bed, dated at 6.7 +/- 0.10 Ma in Idaho by K-Ar; this correlation is confirmed by Passey et al. 2002, who report a revised Ar/Ar date of 6.62 Ma for the Idaho ash<br>NISP 3259: Shotwell 1958a; this probably excludes more recent collections of Dalquest<br>record of ""Perognathus sp."" is erroneous: Dalquest and  Patrick 1989; they repeat the record in their list but  argue against the i.d. in the text (!)","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","hydroxyapatite","","",""
