"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=bradypodidae&show=full"
"Access Time","Fri 2017-02-17 16:03:00 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","bradypodidae"
"","timerule","major"
"","taxon_status","all"
"","show","full"
"Elapsed Time","0.00272"
"Records Found","239"
"Records Returned","239"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","plant_organ","plant_organ2","abund_value","abund_unit","lng","lat","collection_name","collection_subset","collection_aka","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","paleolng","paleolat","geoplate","cc","protected","formation","stratgroup","member","stratscale","zone","localsection","localbed","localorder","regionalsection","regionalbed","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","assembl_comps","articulated_parts","associated_parts","common_body_parts","rare_body_parts","feed_pred_traces","artifacts","component_comments","pres_mode","preservation_quality","spatial_resolution","temporal_resolution","lagerstatten","concentration","orientation","abund_in_sediment","sorting","fragmentation","bioerosion","encrustation","preservation_comments","collection_type","collection_methods","museum","collection_coverage","collection_size","rock_censused","collectors","collection_dates","collection_comments","taxonomy_comments","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","composition","architecture","thickness","reinforcement"
"184131","occ","","","18033","Megalonyx curvidens","species","48017","","Megalonyx curvidens","","species","48017","Hemphillian","","10.3","4.9","Skinner et al.","1977","3175","Chordata","Mammalia","Xenarthra","Megalonychidae","Megalonyx","","","","","-103.800003","42.400002","Aphelops Draw Quarries","","","US","Nebraska","Sioux","based on political unit","1","","Aphelops Draw","gp_mid","-100.53","44.34","101","US","","Snake Creek","","Johnson","","","Snake","8","bottom to top","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","biostratigraphic","","","","","","","","","""Aelurodon taxoides"" Wang et al. 1999: supposedly reworked specimen<br><br>""Leptocyon cf. vafer"" of Cook and Macdonald 1962 seems  extremely unlikely as there are no other Hemphillian  or even Clarendonian records of this genus; however,  Skinner et al. state that the type is from the  Johnson Mbr., as is the type of ""Tomarctus propter""","terrestrial","","actively mobile","arboreal","blind","folivore","viviparous","","low Mg calcite","","",""
"184166","occ","","","18036","Megalonyx sp.","genus","43603","","Megalonyx","","genus","43603","Late Hemphillian","","10.3","4.9","Schultz","1990","6209","Chordata","Mammalia","Xenarthra","Megalonychidae","Megalonyx","","","","","-101.900002","35.000000","Axtel","","UCMP V-5319","US","Texas","Randall","based on political unit","1","small collection","Woody Draw, 12 mi E of Canyon","gp_mid","-98.91","36.89","101","US","","","","","","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","","UCMP","","","","","","","","terrestrial","","actively mobile","arboreal","blind","folivore","viviparous","","low Mg calcite","","",""
"184213","occ","","","18043","Megalonyx sp.","genus","43603","","Megalonyx","","genus","43603","Hemphillian","","10.3","4.9","Hirschfeld and Webb","1968","1919","Chordata","Mammalia","Xenarthra","Megalonychidae","Megalonyx","","","","","-100.000000","42.700001","Bear Tooth Slide","","","US","Nebraska","Brown","based on political unit","1","","middle fork of Deep Creek","gp_mid","-96.59","44.53","101","US","","Ash Hollow","","","","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","biostratigraphic","","","","","","","","","","terrestrial","","actively mobile","arboreal","blind","folivore","viviparous","","low Mg calcite","","",""
"184379","occ","","","18072","Pliometanastes cf. protistus","species","50581","","Pliometanastes protistus","","species","50581","Hemphillian","","10.3","4.9","Schultz","1990","6208","Chordata","Mammalia","Xenarthra","Megalonychidae","Pliometanastes","","","","","-100.099998","36.099998","Box T","","","US","Texas","Lipscomb","based on political unit","1","","S of Wolf Creek, 9 mi NW of Higgins","gp_mid","-97.02","37.94","101","US","","","","","","","Hemph","5","bottom to top","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","","","","","","","","","stratigraphic position based on presumed correlation of massive sandstone with mortar bed at Higgins","terrestrial","","actively mobile","arboreal","blind","folivore","viviparous","","low Mg calcite","","",""
"184525","occ","","","18086","Pliometanastes sp.","genus","43606","","Pliometanastes","","genus","43606","Hemphillian","","10.3","4.9","Voorhies","1990","3510","Chordata","Mammalia","Xenarthra","Megalonychidae","Pliometanastes","","","","","-100.500000","40.500000","Cambridge","","Amebelodon fricki Quarry; UNSM Ft-40","US","Nebraska","Frontier","based on political unit","1","","Keith's Farm, near Freedom","gp_mid","-97.22","42.35","101","US","","Ash Hollow","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","","","","","","","","","NOT clearly superposed above or below any other locality, contrary to Tedford et al. 1987 Fig. 6.2\nFlorida school equid i.d.s are retained because Voorhies' nomenclature differs for philosophical reasons only","terrestrial","","actively mobile","arboreal","blind","folivore","viviparous","","low Mg calcite","","",""
"184904","occ","","","18126","Megalonyx cf. curvidens","species","48017","","Megalonyx curvidens","","species","48017","Late Hemphillian","","10.3","4.9","Voorhies","1990","3510","Chordata","Mammalia","Xenarthra","Megalonychidae","Megalonyx","","","","","-97.728897","42.821400","Devil's Nest Airstrip","","UNSM Kx-113","US","Nebraska","Knox","stated in text","4","outcrop","SE 1/4 NW 1/4 sec 24 T33N R4W: Parmley 1992\nfrom ""weathered channels along both sides of"" an airstrip that is ""1.5 km long"": Holman and Parmley 2005","gp_mid","-94.25","44.59","101","US","","","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","surface (float),field collection","UNSM","","","","","","""surface collecting... often after rainstorms exposed new material"": Holman and Parmley 2005","NOT in clear superposition with any other locality","terrestrial","","actively mobile","arboreal","blind","folivore","viviparous","","low Mg calcite","","",""
"185408","occ","","","18198","Megalonychidae indet.","family","43596","","Megalonychidae","","family","43596","Hemphillian","","10.3","4.9","Schultz","1990","6208","Chordata","Mammalia","Xenarthra","Megalonychidae","","","","","","-100.099998","36.099998","Higgins Quarries","","Sebits Ranch; Sibbet Ranch; Reed and Longnecker Locs. 124-A and 124-B4","US","Texas","Lipscomb","based on political unit","1","local area","two quarries 4 km south-southeast of Higgins","gp_mid","-97.02","37.94","101","US","","","","","group of beds","","Hemph","4","bottom to top","","","","","""gray, unconsolidated-to-cemented fluvial sand""","sandstone","gray","poorly lithified","","","","","","","","fluvial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","","","","","","","","","1.8 m below prominent mortar bed (see Arnett)\nall snakes are from Higgins Quarry B","terrestrial","","actively mobile","arboreal","blind","folivore","viviparous","","low Mg calcite","","",""
"185458","occ","","","18201","Megalonyx cf. curvidens","species","48017","","Megalonyx curvidens","","species","48017","Hemphillian","","10.3","4.9","Voorhies","1990","3510","Chordata","Mammalia","Xenarthra","Megalonychidae","Megalonyx","","","","","-98.800003","42.700001","Honey Creek","","UNSM Ht-103","US","Nebraska","Holt","based on political unit","1","small collection","","gp_mid","-95.36","44.50","101","US","","","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","UNSM","","","","","","","","terrestrial","","actively mobile","arboreal","blind","folivore","viviparous","","low Mg calcite","","",""
"185772","occ","","","18225","Megalonyx sp.","genus","43603","","Megalonyx","","genus","43603","Hemphillian","","10.3","4.9","Leite","1990","2218","Chordata","Mammalia","Xenarthra","Megalonychidae","Megalonyx","","","","","-101.892197","41.300598","Lemoyne Quarry","","UNSM Kh-101; UW V-69015","US","Nebraska","Keith","based on political unit","4","small collection","6.4 km W of Lemoyne in S 1/2 sec 3 T15N R40W","gp_mid","-98.62","43.19","101","US","","Ash Hollow","","","","","McCon","2","bottom to top","","","","","","","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","bulk,sieve","","","967 specimens","","","","","clearly overlies the Shoreline localities\nLeite cites 858 small and 59 large mammal specimens, but then lists 109 identifiable large mammals (not counting the peccary and gomphothere); apparent total is 967\nVoorhies' small mammal list is apparently more up to date than Leite's\n""Anouroneomys minimus"" is actually from Black Butte: see Bown 1980; also omitted by Voorhies 1990\n""cf. Osteoborus sp."" is omitted by Wang et al. 1999","terrestrial","","actively mobile","arboreal","blind","folivore","viviparous","","low Mg calcite","","",""
"185986","occ","","","18247","Megalonyx cf. curvidens","species","48017","","Megalonyx curvidens","","species","48017","Late Hemphillian","","10.3","4.9","Voorhies","1990","3510","Chordata","Mammalia","Xenarthra","Megalonychidae","Megalonyx","","","","","-98.126602","42.393501","Mailbox","","Mailbox Prospect; UNSM Ap-125","US","Nebraska","Antelope","stated in text","4","small collection","corner of secs 15, 16, 21, and 22, T28N, R7W: Parmley 1992","gp_mid","-94.68","44.17","101","US","","","","","","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","bulk,sieve","","","","","","","","overlies Middle Landing, an unpublished locality","terrestrial","","actively mobile","arboreal","blind","folivore","viviparous","","low Mg calcite","","",""
